,原句,第一个词,第二个词,tag,第一个词位置,第二个词位置
46,事实上 ， 一个 绿色 或 黑色 的 玄武岩心脏圣甲虫 被 发现 放在 身体 里,玄武岩心脏圣甲虫,身体,4,7,11
47,这本书 的 章节 调查 问题 和 社区,章节,问题,14,2,4
48,细菌气溶胶 是 由 上吸式雾化器 产生 的,细菌气溶胶,上吸式雾化器,17,0,3
49,对于 那些 不确定 南非 荷兰语 是 什么 的 人 来说 ， 它 是 一种 起源于 荷兰语 的 语言 ， 荷兰语 是 南非 的 第一批 定居者 ， 而 这种 独特 的 语言 是 由 来自 马来亚 、 印度尼西亚 、 马达加斯加 和 西非 的 其他 定居者 演变 而来 的 。,语言,定居者,8,17,43
50,生产 超中性 酒精 是 制造 白酒 的 基本原料 ， 该 商品 主要 被 印度 制造 的 外国 白酒 （ IMFL ） 公司 使用 。,酒精,酒精,9,2,2
51,最初 ， 用户 使用 位于 样品 平面 的 荧光 寿命 标准 校准 显微镜,用户,标准,11,2,10
52,这 是 一本 中世纪 的 拉丁 手稿 ， 讲述 了 马恩岛 的 早期 历史 。,手稿,历史,14,6,13
53,几天前 的 大雨 过后 ， 这 条 河 现在 变成 了 洪水 。,洪水,洪水,1,11,11
54,我们 的 经验 延续 到 15年 ， 继续 推广 这个 由 九个 岛屿 组成 的 群岛 。,群岛,岛屿,3,15,12
55,这 台 机器 正在 往 模具 里 吹 沙子,沙子,模具,6,8,5
56,频繁 的 骚动 使 学术 生活 陷入 混乱,生活,混乱,18,5,7
57,还有 其他 陶工 陶瓷 的 例子 ， 都是 用 流苏 和 珠子 做成 的 。,陶工,陶瓷,17,2,3
58,鸟类 的 鼻腔 含有 鼻甲 （ bang 1971 ） ， 软骨 结构 被 认为 具有 从 空气 中 回收 水分 的 功能 之 一 。,鼻腔,鸟类,2,2,0
59,因此 ， 简单 地说 ， 肌腱 将 肌肉 附着 在 骨骼 上,肌腱,肌肉,18,5,7
60,我 的 狗 星期二 吃 了 一个 装满 狗食 的 玻璃纸 袋子,玻璃纸,狗,5,10,2
61,猫头鹰 用 爪子 抓住 老鼠,猫头鹰,爪子,3,0,2
62,比勒陀利亚大学 的 马彭古 比 收藏馆 收藏 了 大量 被遗忘 的 马彭古 比 王国 的 杰出 作品 ， 这些 作品 于 公元1000年 至 1300年间 在 林波波河 和 沙舍河 的 交汇处 繁荣 起来 。,作品,王国,8,15,12
63,此外 ， 在 政变 造成 的 混乱 中 ， 发布 好战 海报 是 艺术家 和 组织 宣布 积极 参与 反抗 的 一种 方式 。,混乱,政变,1,6,3
64,下面 的 照片 来自 纽约公共图书馆,照片,纽约公共图书馆,8,2,4
65,各种 形式 的 唯心主义 、 唯物主义 和 不可知论哲学 都 受制 于 所 指 情况 所 引起 的 紧张 。,紧张,情况,1,17,13
66,程序 已 将 数据 提取 到 主机 变量 数组 中,数据,数组,6,3,8
67,组织 损伤 和 电极 腐蚀 都 与 高 电荷 密度 刺激 有关,电极,腐蚀,18,3,4
68,在 一个 旧居 里 ， 你 的 作者 有 一个 中庭 ， 里面 有 22只 鸽子 和 鼹鼠 的 决斗 。,决斗,鼹鼠,13,19,17
69,膈肌 的 收缩 是 由 大脑 刺激 迷 走 神经 引起 的 ， 或 是 由 沿 神经 长度 的 任何 地方 的 刺激 引起 的 。,收缩,刺激,1,2,23
70,从 跑道 到 终点站 15分钟 的 飞机 飞行 是 不 常见 的,飞机,跑道,8,6,1
71,几何 骨架 是 使用 隐式 “ directions ” 方法 从 静态 对象 派生 的,骨架,对象,8,1,11
72,这 是 一份 月度 报告 ， 就 当前 美国政府 合同 问题 提供 意见 和 建议,报告,意见,14,4,12
73,政府 害怕 失去 选票 ， 通过 补贴 来 解决 危机 。,政府,补贴,11,0,6
74,圣诞节 ， 丹尼尔 送给 凯利 一个 蒂芙尼 手镯 ， 情人节 他 买 了 一条 钻石 项链 。,钻石,项链,18,14,15
75,足底疣 是 由 感染 脚底 皮肤 外层 的 病毒 引起 的 。,足底疣,病毒,1,0,8
76,祈祷 钟 的 绳子 完好 无损 地盘 绕 在 那里,绳子,祈祷,2,3,0
77,雅典 的 一只 母羊 身上 保存 着 一个 圆锥形 的 盖子 ， 与 这些 容器 的 形状 非常 吻合 。,盖子,母羊,4,10,3
78,这个 过程 将 健康 基因 传递 给 下一代,基因,下一代,18,4,7
79,望远镜 主要 以 两种 方式 辅助 眼睛,望远镜,眼睛,10,0,6
80,男孩 不 小心 进 了 女孩 的 浴室,男孩,浴室,6,0,7
81,文档 作为 文本 存储 在 适当 的 文件夹 中,文件夹,文件夹,4,7,7
82,不幸 的 是 ， 他们 只是 简短 的 提及 ， 更多 的 页面 被 用来 描述 俱乐部 的 场景,页面,场景,14,12,18
83,费斯库斯 是 罗马 皇帝 的 国库 ， 之所以 叫 费斯库斯 ， 是因为 钱 是 装 在 篮子 里 的 。,钱,篮子,4,12,16
84,鱼儿 在 浅滩 里 游泳 ， 却 一条条 地 掉 下去,鱼儿,浅滩,12,0,2
85,所有 书签 都 已 导出 到 单个 文件,书签,文件,6,1,7
86,压头 被 推入 材料 中 ， 载荷 和 位移 都 增加,压头,材料,6,0,3
87,居民们 把 信息 放在 一个 胶囊 里 ， 然后 把 胶囊 放在 一个 信息管 里 ， 互相 传递 信息,胶囊,信息管,6,5,13
88,它 是 展示 西班牙 帝国 历史 的 极 有 价值 的 档案 文件 的 文献库 。,文件,历史,14,12,5
89,激动 的 学生们 还在 达卡 - 迈门辛高速公路 上 设置 了 路障 ， 从 上午10点30分 至 下午12点30分 ， 中断 了 大约 两个小时 的 车辆 通行 。,学生们,路障,17,2,10
90,玛雅人 绘制 了 金星 划过 天空 的 运动 图 ， 把 巧克力 倒进 罐子 里 ， 然后 把 它们 和 死者 一起 埋葬 。,巧克力,罐子,6,11,13
91,大象 是 水生动物 的 后代,大象,水生动物,8,0,2
92,丽迪雅 钻石 于 2009年12月23日 召开 了 股东 特别 会议 ， 并 获得 股东 的 批准 。,会议,股东,18,8,12
93,在 浸泡 了 一夜 之后 ， 我们 把 豆子 放 进 了 一个 相当 宽 的 酒瓶 里 ， 酒瓶 的 草皮 已经 剥掉 了 。,豆子,酒瓶,6,8,19
94,学生 通过 sts 方法 从 学习 中 受益,学习,方法,11,5,3
95,炸弹 藏 在 摩苏尔市 马托马教堂 （ 又 称 圣托马斯教堂 ） 附近 的 手推车 里 。,炸弹,手推车,4,0,12
96,士兵们 搬进 了 丛林 深处,士兵们,丛林,6,0,3
97,这次 会议 确立 了 管理 教会 的 法律 和 来年 的 优先 事项,会议,法律,0,1,7
98,游戏 是 用 原始 包装 密封 的 ， 没有 打开 也 没有 动 过 。,游戏,包装,4,0,4
99,霍加斯 还 用 当代 英国 艺术家 捐赠 的 艺术品 装饰 了 医院 的 墙壁 。,墙壁,医院,2,13,11
100,在 一次 绝望 的 尝试 中 ， 公司 把 钱 投入 了 这个 项目,钱,项目,6,9,13
101,她 的 衣服 放在 一个 没有 盖子 的 箱子 里 ， 放在 下一个 台阶 上,衣服,箱子,4,2,8
102,本 章 前面 定义 的 反馈 是 可以 用来 修改 或 维护 以前 行为 的 信息,反馈,章,15,5,1
103,五家 公司 推出 了 一个 名 为 “ 神圣 肥皂 ” 的 网站 ， 致力于 在 所有 频道 播放 受欢迎 的 电视 肥皂剧 。,网站,肥皂,14,12,9
104,他们 还 从 未来 拍摄 了 一个 关于 一个 家庭 和 一盒 玩具 的 非常 个人化 的 故事 ， 并 把 它 变成 了 一个 史诗般 的 故事 ， 在 这个 故事 中 孩子 般 的 天真 拯救 了 人类 。,玩具,未来,8,12,3
105,Ovation 是 一家 专门 致力于 艺术 的 电视 网络 ， 提供 有关 视觉 艺术 、 戏剧 、 歌剧 、 音乐 和 舞蹈 的 节目,电视,艺术,14,7,13
106,刑法 是 国家 法律 的 一部分 ， 规定 了 犯罪 和 惩罚,法律,犯罪,14,3,9
107,普通 啤酒 8 兹罗特 （ 2欧元 ） ， 覆盆子糖浆啤酒 9 兹罗特,覆盆子糖浆啤酒,覆盆子糖浆啤酒,9,8,8
108,隐藏 的 前 导码 或 定时 信号 用于 标记 从 发射机 开始 传输 信息脉冲 的 时间,传输,发射机,1,12,10
109,胃里 装满 了 细 砾石 和 小 种子,胃里,砾石,5,0,4
110,赤字 是 由于 人们 储蓄 过多 而 造成 的,赤字,人们,1,0,3
111,老师 在 黑板 上 写 一个 不到 五万 的 整数,老师,黑板,11,0,2
112,不幸 的 是 ， 我的朋友 很容易 坠入 爱河 ， 一直 心碎,我的朋友,爱河,18,4,7
113,热 、 风 和 烟 导致 航班 延误,风,延误,0,2,7
114,在 发展 中 国家 ， 五分之四 的 疾病 是 由 水 传播 疾病 引起 的 ， 腹泻 是 儿童 死亡 的 主要 原因 。,疾病,疾病,1,7,12
115,数十亿 资金 流入 单位 信托 相关 产品,数十亿,产品,6,0,6
116,该 公司 在 乌克兰 、 几内亚 、 伊朗 、 伊拉克 和 叙利亚 修建 了 铁路 。,公司,铁路,17,1,14
117,通过 复位 信号 完成 复位 后 ， 接收 主模块 30 发送 的 比特 周期,复位,信号,18,1,2
118,血液 通过 合适 的 管道 从 动物 体内 进入 泵,血液,动物,8,0,6
119,在 生物解剖学 中 ， 中脑 （ 或 中脑 ） 包括 顶盖 （ 或 四 头体 ） 、 被盖 、 室 中间 窝 （ 或 ITER ） 、 脑脚 以及 若干 核 和 束 。,中脑,顶盖,3,4,10
120,过去 的 意识 正在 走向 未来,意识,未来,6,2,5
121,因为 这些 术语 中 的 一些 在 本书 后面 的 案例 研究 章节 中 使用 ， 所以 它们 现在 在这里 被 定义,章节,本书,2,12,7
122,他 用 右手 拿着 器皿 ， 往 左手 里 倒水 ， 洗手 到 手腕 。,倒水,右手,6,9,2
123,影响 鼓 发出 声音 的 第二 大 因素 是 鼓头 紧靠 鼓壳 的 张力,声音,鼓,1,3,1
124,茶 放在 一个 玻璃杯 里 ， 玻璃杯 边缘 有 粉红色 的 花 ， 盛 在 一个 小 瓷盘 上 ， 上面 有 一幅 欧洲 田园 风光 ， 一个 穿着 及 膝长裤 的 男人 和 一个 穿着 长裙 的 女人 手牵手 。,茶,玻璃杯,4,0,6
125,这种 伸肌机制 主要 由 股四头肌 （ 股 直肌 、 股 外侧肌 、 股 中间肌 、 股 内侧肌 ） 、 股四头 肌腱 、 髌骨 和 髌腱 组成 。,伸肌机制,髌骨,3,1,22
126,爆炸 引发 的 大火 损坏 了 核电站 的 八座 建筑 ， 其中 一座 被烧毁,大火,爆炸,1,3,0
127,这些 标准 正在 讨论 中 ， 尚未 公布,标准,讨论,15,1,3
128,融水 把 沉积物 输送 到 湖里,沉积物,湖里,6,2,5
129,爱默生 先生 在 他 那 首 由 靠近 战场 的 河边 写 的 诗 中 提到 了 你 的 墓碑 。,诗,河边,18,13,10
130,肠 从 脐带 进入 腹部,肠,腹部,6,0,4
131,机械 故障 导致 今天早上 惠灵顿市 郊 列车 晚点 和 取消 。,故障,取消,0,1,9
132,他 旅行 的 事件 在 一系列 的 书 中 都 有 叙述,事件,书,15,3,7
133,芦笋 是 治疗 癌症 的 天然 药物 。,芦笋,癌症,18,0,3
134,摘要 报告 一例 起源于 蝶骨 的 颅咽管瘤 。,颅咽管瘤,蝶骨,8,6,4
135,方帆 上 弯曲 的 蟑螂 取决于 紧靠 它 下面 的 支柱 的 角度 或 高度 。,蟑螂,方帆,2,4,0
136,啤酒 就像 狗 的 一根 大毛,啤酒,狗,18,0,2
137,这家 公司 在 过去 几 年中 遇到 了 财务 问题,公司,问题,18,1,9
138,这 座 桥 的 弯曲 跨度 是 原来 的 部分,跨度,桥,2,5,2
139,麦多 设法 逃脱 并 绑架 了 这位 科学家 的 侄女 。,科学家,侄女,18,7,9
140,秋天 的 种植 在 地面 结冰 之前 是 不能 完成 的 ， 所以 我 把 种子 储存 在 一个 分层 的 单元 里 直到 春天,种子,分层,6,15,19
141,因 航空公司 原因 造成 航班 延误 或 取消 的 ， 旅客 有权,取消,航空公司,1,7,1
142,已 就 地图 、 学校 历史 、 选民 名册 、 土地 保有权 、 政府 大楼 、 铁路 和 酒店 牌照 等 编制 了 简要 指南 。,指南,地图,14,24,2
143,帕特森·麦克纳特 和 亚瑟·J·贝克哈德 的 剧本 主要 讲述 了 一个 富有 的 单身汉 收养 了 一个 年轻 的 孤儿 （ 雪莉·坦普尔 ） （ 约翰·博尔斯 ）,孤儿,单身汉,18,17,11
144,我们 的 目的 是 回顾 肺癌分子生物学 和 药物 基因 组学 的 进展 ， 以及 它们 如何 应用于 个性化 医学 。,进展,肺癌分子生物学,18,11,5
145,糖尿病 是 世界 范围 内 不 可逆转 失明 的 主要 原因 之 一 ， 在 美国,糖尿病,失明,0,0,7
146,这些 数据 主要 涉及 装配 操作,数据,操作,18,1,5
147,第三个 投标 来自 一家 自己 安装 的 窗户 公司,投标,公司,16,1,8
148,内政 部长 增加 了 在 公共 土地 上 钻探 的 障碍,障碍,钻探,18,10,8
149,酿酒师 精心 挑选 了 葡萄园 里 不同 地段 的 葡萄 ， 并 将 它们 混合 在 这 美妙 的 比 诺 中 。,酿酒师,葡萄,11,0,9
150,在 这本书 的 早期 ， 作者 回顾 了 风潮 兴起 的 原因 以及 如何 参与 其中 ， 并 确定 了 推动 风潮 的 工具 博客 、 维基 等 。,这本书,作者,16,1,5
151,得到 帮助 减少 了 扭转 由 真菌 引起 的 所有 刺激 的 时间,刺激,真菌,1,10,6
152,基金 成立 的 主要 推 动力 来自 一名 受伤 的 越南 老兵,动力,老兵,8,5,11
153,另 一方面 ， 购买 满意度 越 高 ， 口碑 推荐 和 重复 购买 的 效益 就 越 大,满意度,购买,1,4,12
154,当 咖啡 准备 好 时 ， 我 的 咖啡装 在 杯子 里 ， 而 不是 像 我 点 的 那样 去 了 。,咖啡,杯子,4,1,10
155,世界 正 经历 着 前所未有 的 储蓄 过剩 ， 压低 了 实际 利率,过剩,储蓄,18,7,6
156,以 这种 方式 ， 亚马逊 的 坚果 为 一架 飞机 提供 动力,坚果,飞机,10,6,9
157,多年来 ， 路易斯安那州立大学牙科学院 （ LSUD ） 高级 牙科 学生 在 离职 面谈 中 反复 发表 的 评论 是 ， 他们 对 牙科 实习 的 业务 方面 缺乏 信心 。,评论,学生,16,16,8
158,这些 文件 定义 了 政策 、 程序 、 培训 和 审计,文件,政策,14,1,4
159,在 与 黑暗面 的 战斗 之后 ， 我 仍然 充满 愤怒 ， 冲向 安森，光明 和 黑暗 的 能量 从 我 身上 溢出 。,愤怒,战斗,18,10,4
160,孩子们 听到 木工 车间 着火 的 火警 警报 后 下 了 梯子,警报,着火,1,7,4
161,该 网站 有 免费 的 男士 照片 画廊 ， 展示 他们 牛仔裤 上方 的 内衣 腰带,腰带,内衣,2,15,14
162,这家 石油 公司 非法 向 一些 国家 进口 石油,石油,国家,6,1,6
163,一些 护士 从 装有 病人 内脏 的 罐子 里 喝 了 酒 。,护士,罐子,11,1,7
164,NRC、RSO 和 第一个 银行 代表 用 钥匙 进入 了 保险库,代表,钥匙,11,4,6
165,钻井 平台 是 罗慕兰 采矿 船 “ 纳拉达 ” 号 的 一部分 ， 它 可以 降落 到 行星 的 大气层 中 ， 也 可以 按 计划 进行 采矿 作业 。,平台,船,2,1,5
166,单簧管 是 从 录音机 家族 发展 而来 的 ， 与 萨克斯管 有着 密切 的 联系 。,单簧管,录音机,8,0,3
167,微加速度计 的 桨叶 设计 成 与 光束 方向对称,桨叶,微加速度计,2,2,0
168,接着 ， 士兵们 在 一堆 土上 竖起 了 一堵 木桩 墙 。,士兵们,墙,17,2,10
169,水烟 管 通过 水 过滤 烟雾 ， 使 最终 的 结果 不 那么 刺耳 ， 并 使 烟雾 的 味道 真正 散发 出来 。,水烟,水,11,0,3
170,还有 一些 劳工 正在 就 学徒 培训 等 问题 进行 谈判 。,谈判,学徒,14,10,5
171,在 本网站 上 发表 诗歌 纯粹 是 出于 教育 目的 、 为了 提供 信息 和 善意,诗歌,本网站,2,4,1
172,学生 在 老师 （ B14 ） 的 帮助 下 ， 用 彩色 图钉 在 大 地图 （ B2 ） 上 标出 这些 城市 的 位置,学生,图钉,11,0,12
173,工人们 把 自己 锁 在 楼上 的 办公室 里 ， 把 震惊 的 经理们 留在 楼下 的 商店 里,经理们,商店,18,13,17
174,这 经常 被 认为 是 饱和脂肪 和 胆固醇 引起 心脏病 的 证据,胆固醇,心脏病,0,7,9
175,许多 商用 肥皂 、 沐浴露 或 清洁 产品 含有 防腐剂 、 着色剂 和 化学 物质 ， 会导致 皮肤 干燥 、 皮疹 、 瘙痒 和 粗糙 。,防腐剂,瘙痒,0,9,22
176,这个 女孩 ， 在 她 作为 榆树溪 绗缝 工 的 第一个 假期 里 ， 为 她 最好的朋友 做 了 一床 被子 ， 尽管 她 开始 质疑 自己 对 他 的 感情 。,女孩,被子,17,1,20
177,其中 一场 表演 中 使用 的 烟火 导致 主 舞台 起火 ， 桦木 和 斯托克顿 希思 被 叫来 现场 。,烟火,烟火,0,6,6
178,在 每一次 试验 中 ， 赞助 制造商 的 药物 都 比 试验 中 的 其他 药物 好 ， 或 与 之 相当,制造商,药物,17,6,15
179,日复一日 ， 他 把 自己 塞 进 了 一个 黄蜂窝 ， 或者 苏格兰 人称 之 为 蜜蜂 的 自行车 。,自行车,蜜蜂,13,18,16
180,病毒性胃肠炎 是 由 几种 病毒 之 一 引起 的 一种 高度 传染性 的 肠道 感染 。,感染,病毒,1,14,4
181,最近 ， 大量 的 商业 鱼类 和 贝类 已经 迁移 到 较 冷 的 水域,鱼类,水域,6,5,14
182,谋杀 把 受害者 拖 下水 了,受害者,下水,6,2,4
183,很多 时候 ， 学生 被 错误 地 安排 到 其他 学校,学生,学校,6,3,10
184,战争 心态 是 由 伊拉克战争 和 国内 持续 不断 的 恐惧 鼓点 所 产生 的 。,心态,战争,1,1,0
185,今天早上 ， 卡萨兹路一座桥 的 两根 柱子 倒塌 了 。,柱子,卡萨兹路一座桥,2,5,2
186,由于 当时 没有 计算机 可用 ， 他用 火柴盒 组装 而成 的 装置 手工 模拟 了 盒子 算法 。,装置,火柴盒,18,11,7
187,两年前 ， 在 印度 做 一家 糖业 公司 是 个 不错 的 提议,糖业,公司,16,6,7
188,两种 价格 到达 酒店,价格,酒店,6,1,3
189,一把 梳子 藏 在 粘 在 墙上 的 文件夹 底部 的 信封 里,梳子,信封,4,1,11
190,最近 ， 在 中国 ， 越来 越多 的 人 搬进 了 大城市,人,大城市,6,8,11
191,在 我 的 例子 中 ， 解决方案 是 锁定 安全 窗格 本身 的 挂锁,挂锁,窗格,2,13,10
192,冰箱 在 一个 桃花心木盒子 里,冰箱,桃花心木盒子,4,0,3
193,这个 袋子 和 其他 圣诞老人 的 袋子 放在 一个 箱子 里 （ 没有 包装 ）,袋子,箱子,4,1,9
194,新型 便携式 电子 设备 正面临 温度 敏感性 问题,设备,问题,18,3,7
195,老师 用 高 玻璃杯 把 蜡烛 盖上,老师,玻璃杯,11,0,3
196,另一个 增加 法国 定居者 人口 的 计划 是 挑选 770名 妇女 前往 新 法国 。,人口,定居者,13,4,3
197,有些 部分 用 星号 表示,部分,星号,18,1,3
198,报告 强调 各 机构 之间 需要 更好地 协调,报告,需要,14,0,5
199,在 过去 的 两年 里 ， 这个 团队 用 回收 材料 建造 了 两个 花园,团队,花园,17,7,14
200,1858年 ， 一个 鞋匠 发明 了 一种 把 鞋底 缝 到 鞋帮 的 机器 。,鞋匠,机器,17,3,13
201,样品 被 放在 一个5毫米 的 玻璃管 中 ， 周围 环绕 着 振荡器 和 接收 线圈 ， 彼此 成 直角,样品,玻璃管,4,0,5
202,这 是 一张 艺术家 在 纽约市 桑树街 的 一个 蔬菜 摊前 给 一个 小女孩 拍照 的 照片,艺术家,照片,17,3,16
203,本 文件 是 世卫组织学校 卫生 信息 系列 的 一部分,文件,系列,2,1,6
204,两只 鹿 撞 上 了 汽车,鹿,汽车,6,1,5
205,这 是 由于 一种 独特 的 设计 ， 它 通过 滤袋 而 不是 风扇 过滤 污垢,设计,滤袋,3,6,10
206,由 爱泼斯坦-巴尔病毒 引起 的 传染性 单核细胞增多症 约 有 一半 的 病例 会导致 渗出性扁桃体炎 或 咽炎 。,爱泼斯坦-巴尔病毒,渗出性扁桃体炎,0,1,12
207,不 小心 ， 电 飞 到 了 地上 的 水 里,电,水,6,3,9
208,导言 既是 对 文章 的 介绍 ， 也是 对 文章 主题 的 重要 方面 的 总结,总结,方面,14,15,13
209,这些天 来 ， 我 的 银行 账户 上 有 一笔 可观 的 写作 收入 ， 作为 一名 小说 作家 ， 我 开始 有 了 一些 成功 的 开端 ， 我 觉得 我 有 足够 的 外表 ， 可以 毫不 羞耻 地 承认 自己 是 一名 作家 。,小说,作家,16,17,45
210,帆 上 有 一只 重要 的 蟑螂 ， 在 水蛭 和 拖尾 的 容器 上 有 可调 的 板条 装置 。,帆,蟑螂,3,0,6
